UUID,Titre,Publié,Promu en page d'accueil,Traduction,Exporter vers les extensions,Contexte(s),Language,Statut,Lien vers traduction l.d.o,Date de publication,Date de mise à jour
localize_glossary_translation_348_fr,cluster,1,0,regroupement,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=cluster,1307284460,1314823283
localize_glossary_translation_358_fr,Verb-ing,1,0,substantif,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Verb-ing,1307284460,1314823285
localize_glossary_translation_356_fr,try again later,1,0,réessayez ultérieurement,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=try%20again%20later,1307284460,1314823285
localize_glossary_translation_355_fr,experts only,1,0,réservé aux experts,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=experts%20only,1307284460,1314823285
localize_glossary_translation_354_fr,one-time login link,1,0,lien de connexion à usage unique,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=one-time%20login%20link,1307284460,1314823285
localize_glossary_translation_353_fr,cron maintenance task,1,0,tâche planifiée (cron) de maintenance,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=cron%20maintenance%20task,1307284460,1446919502
localize_glossary_translation_352_fr,Admin Theme,1,0,Thème de l'administration,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=Admin%20Theme,1307284460,1314823283
localize_glossary_translation_351_fr,input format,1,0,format de saisie,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=input%20format,1307284460,1374243329
localize_glossary_translation_350_fr,stroke,1,0,trait,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=stroke,1307284460,1314823283
localize_glossary_translation_349_fr,map,1,0,carte,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=map,1307284460,1314823283
localize_glossary_translation_336_fr,widget,1,0,widget,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=widget,1307284460,1446917499
localize_glossary_translation_335_fr,website,1,0,site web,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=website,1307284460,1314823285
localize_glossary_translation_302_fr,track,1,0,suivi,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=track,1307284460,1314823283
localize_glossary_translation_315_fr,URL path,1,0,chemin d'URL,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=URL%20path,1307284460,1314823283
localize_glossary_translation_314_fr,upstream,1,0,,1,,localize_glossary_languages_fr,AV,https://localize.drupal.org/translate/languages/fr/translate?search=upstream,1307284460,1314823283
localize_glossary_translation_313_fr,upload,1,0,transférer,1,,localize_glossary_languages_fr,VA,https://localize.drupal.org/translate/languages/fr/translate?search=upload,1307284460,1446918770
